rank,sample_id,eval_token_index,channel,tile_id,tile_offset,activation,quantized_activation,reconstruction_error,abs_reconstruction_error,nearest_centroid
469,41,3777,25,6,1,-1.7109375,0.20990674197673798,-1.9208441972732544,1.9208441972732544,124
470,99,9841,26,6,2,-0.443359375,1.4718811511993408,-1.9152405261993408,1.9152405261993408,101
471,67,6359,5,1,1,3.0,1.0863683223724365,1.9136316776275635,1.9136316776275635,100
472,20,2026,20,5,0,-1.28125,0.631747305393219,-1.9129972457885742,1.9129972457885742,126
473,42,3819,20,5,0,-0.35546875,1.5519205331802368,-1.9073892831802368,1.9073892831802368,82
474,27,2519,52,13,0,0.357421875,-1.5451741218566895,1.9025959968566895,1.9025959968566895,30
475,93,8837,20,5,0,-0.349609375,1.5519205331802368,-1.9015299081802368,1.9015299081802368,82
476,47,4265,57,14,1,0.478515625,-1.4203373193740845,1.8988529443740845,1.8988529443740845,95
477,21,2048,55,13,3,3.046875,1.148675560951233,1.898199439048767,1.898199439048767,115
478,43,3841,55,13,3,5.53125,3.6342718601226807,1.8969781398773193,1.8969781398773193,30
479,82,7542,27,6,3,-0.423828125,-2.3183438777923584,1.8945157527923584,1.8945157527923584,118
480,43,3841,57,14,1,0.46875,-1.4203373193740845,1.8890873193740845,1.8890873193740845,95
481,65,6174,25,6,1,-2.21875,-0.33161064982414246,-1.8871393203735352,1.8871393203735352,101
482,21,2048,24,6,0,4.34375,2.4571733474731445,1.8865766525268555,1.8865766525268555,101
483,75,6864,26,6,2,-0.4140625,1.4718811511993408,-1.8859436511993408,1.8859436511993408,101
484,13,1462,47,11,3,-0.169921875,-2.0548171997070312,1.8848953247070312,1.8848953247070312,119
485,34,3217,22,5,2,0.376953125,2.2574126720428467,-1.8804595470428467,1.8804595470428467,14
486,75,6864,66,16,2,-2.84375,-0.9661680459976196,-1.8775819540023804,1.8775819540023804,93
487,65,6174,19,4,3,0.3671875,2.2438507080078125,-1.8766632080078125,1.8766632080078125,124
488,43,3841,20,5,0,-0.32421875,1.5519205331802368,-1.8761392831802368,1.8761392831802368,82
489,54,5259,20,5,0,-1.546875,0.32900917530059814,-1.8758841753005981,1.8758841753005981,58
490,98,9764,59,14,3,-0.287109375,-2.1573808193206787,1.8702714443206787,1.8702714443206787,95
491,11,1370,55,13,3,5.5,3.6342718601226807,1.8657281398773193,1.8657281398773193,30
492,15,1654,52,13,0,-0.65625,-2.52156925201416,1.8653192520141602,1.8653192520141602,113
493,80,7097,20,5,0,-0.3125,1.5519205331802368,-1.8644205331802368,1.8644205331802368,82
494,22,2163,52,13,0,0.31640625,-1.5451741218566895,1.8615803718566895,1.8615803718566895,30
495,62,6010,35,8,3,0.1552734375,-1.7035616636276245,1.8588351011276245,1.8588351011276245,78
496,79,7027,47,11,3,0.72265625,-1.1335363388061523,1.8561925888061523,1.8561925888061523,37
497,18,1976,20,5,0,-0.30078125,1.5519205331802368,-1.8527017831802368,1.8527017831802368,82
498,89,8507,32,8,0,-0.10302734375,-1.955368995666504,1.852341651916504,1.852341651916504,34
499,99,9841,20,5,0,-1.21875,0.631747305393219,-1.8504972457885742,1.8504972457885742,126
500,26,2516,24,6,0,3.609375,1.759203314781189,1.850171685218811,1.850171685218811,105
501,89,8507,66,16,2,-2.859375,-1.0132607221603394,-1.8461142778396606,1.8461142778396606,12
502,10,1013,25,6,1,-2.3125,-0.46729156374931335,-1.8452084064483643,1.8452084064483643,105
503,2,159,20,5,0,-0.291015625,1.5519205331802368,-1.8429361581802368,1.8429361581802368,82
504,28,2550,59,14,3,-0.314453125,-2.1573808193206787,1.8429276943206787,1.8429276943206787,95
505,36,3341,19,4,3,0.40234375,2.2438507080078125,-1.8415069580078125,1.8415069580078125,124
506,57,5387,3,0,3,-0.5390625,1.3017035722732544,-1.8407660722732544,1.8407660722732544,86
507,24,2388,19,4,3,0.40625,2.2438507080078125,-1.8376007080078125,1.8376007080078125,124
508,96,9171,24,6,0,3.59375,1.759203314781189,1.834546685218811,1.834546685218811,105
509,13,1462,26,6,2,-2.859375,-1.038713812828064,-1.820661187171936,1.820661187171936,124
510,74,6771,1,0,1,-1.234375,0.5844319462776184,-1.8188068866729736,1.8188068866729736,86
511,12,1434,54,13,2,1.2734375,3.0921874046325684,-1.8187499046325684,1.8187499046325684,51
512,20,2026,64,16,0,-1.140625,0.6762609481811523,-1.8168859481811523,1.8168859481811523,12
513,16,1721,59,14,3,-0.341796875,-2.1573808193206787,1.8155839443206787,1.8155839443206787,95
514,56,5336,22,5,2,-1.7265625,-3.5396430492401123,1.8130805492401123,1.8130805492401123,58
515,79,7027,20,5,0,-0.259765625,1.5519205331802368,-1.8116861581802368,1.8116861581802368,82
516,43,3841,59,14,3,-0.357421875,-2.1573808193206787,1.7999589443206787,1.7999589443206787,95
517,55,5307,117,29,1,-3.09375,-1.2970821857452393,-1.7966678142547607,1.7966678142547607,44
518,11,1370,3,0,3,-0.494140625,1.3017035722732544,-1.7958441972732544,1.7958441972732544,86
519,98,9764,1,0,1,-1.2109375,0.5844319462776184,-1.7953693866729736,1.7953693866729736,86
520,21,2048,25,6,1,-2.125,-0.33161064982414246,-1.7933893203735352,1.7933893203735352,101
521,18,1976,59,14,3,-0.365234375,-2.1573808193206787,1.7921464443206787,1.7921464443206787,95
522,0,143,19,4,3,0.455078125,2.2438507080078125,-1.7887725830078125,1.7887725830078125,124
523,52,5051,25,6,1,-2.234375,-0.45091691613197327,-1.7834581136703491,1.7834581136703491,85
524,75,6864,59,14,3,-0.375,-2.1573808193206787,1.7823808193206787,1.7823808193206787,95
525,89,8507,53,13,1,0.6171875,-1.1647276878356934,1.7819151878356934,1.7819151878356934,30
526,5,383,116,29,0,-0.376953125,1.3997851610183716,-1.7767382860183716,1.7767382860183716,76
527,30,2841,23,5,3,4.0625,2.287625789642334,1.774874210357666,1.774874210357666,82
528,41,3777,3,0,3,-0.47265625,1.3017035722732544,-1.7743598222732544,1.7743598222732544,86
529,78,6934,22,5,2,0.5546875,-1.219596266746521,1.774283766746521,1.774283766746521,82
530,49,4380,1,0,1,-1.1875,0.5844319462776184,-1.7719318866729736,1.7719318866729736,86
