sample_id,eval_token_index,rmse,mae,max_abs_error,max_abs_error_channel,activation_l2,error_l2,relative_l2_error
80,7097,0.2948121428489685,0.18071524798870087,6.449324607849121,56,21.12959098815918,14.916444778442383,0.7059504742330988
81,7254,0.2829841375350952,0.17906919121742249,5.293074607849121,56,20.49017333984375,14.317991256713867,0.6987735544858524
82,7542,0.2930968105792999,0.18144407868385315,7.241080284118652,24,22.345096588134766,14.829660415649414,0.6636650845145129
83,7599,0.3090631663799286,0.18465760350227356,6.07416296005249,56,22.709877014160156,15.637495040893555,0.6885768263361003
84,7920,0.30610695481300354,0.18342654407024384,6.57416296005249,56,21.71506118774414,15.487921714782715,0.7132340812156684
85,8086,0.28391698002815247,0.18258550763130188,5.105574607849121,56,21.065675735473633,14.365189552307129,0.6819239853823824
86,8214,0.2625410854816437,0.1826080083847046,3.09633207321167,66,21.944265365600586,13.28364372253418,0.605335539888128
87,8238,0.26902392506599426,0.18333715200424194,5.635878562927246,56,22.783042907714844,13.611654281616211,0.5974467210877702
88,8338,0.2965468466281891,0.18176685273647308,7.435786724090576,56,21.731245040893555,15.004217147827148,0.6904444324102196
89,8507,0.27868571877479553,0.18475410342216492,3.5899498462677,56,21.53711700439453,14.100507736206055,0.6547073005792243
90,8510,0.2903595566749573,0.17910708487033844,5.471578121185303,24,21.561153411865234,14.69115924835205,0.6813716765387614
91,8762,0.2560040056705475,0.17726661264896393,4.198378562927246,56,21.3825740814209,12.952892303466797,0.6057686157964225
92,8820,0.2655467987060547,0.1774219423532486,6.76166296005249,56,20.096593856811523,13.435723304748535,0.668557239126104
93,8837,0.268708199262619,0.18081535398960114,6.19916296005249,56,20.923059463500977,13.59567928314209,0.6497940373805723
94,8889,0.305137574672699,0.18383637070655823,6.79291296005249,56,22.04170799255371,15.438876152038574,0.700439192700232
95,9149,0.2937353849411011,0.19453079998493195,5.699324607849121,56,25.0717716217041,14.861968040466309,0.5927769391294477
96,9171,0.2835234999656677,0.18176987767219543,6.13666296005249,56,21.6402645111084,14.345281600952148,0.6628977013468766
97,9378,0.27212610840797424,0.1804799735546112,6.605574607849121,56,21.448335647583008,13.768610954284668,0.6419430943508309
98,9764,0.29055124521255493,0.17988356947898865,6.373286724090576,56,20.72768211364746,14.700858116149902,0.7092379184294131
99,9841,0.3104042708873749,0.18599100410938263,7.435786724090576,56,21.9222412109375,15.705353736877441,0.7164118661846347
