channel,tile_id,tile_offset,rmse,mae,max_abs_error,mean_abs_activation,p99_abs_activation
622,155,2,0.2151585966348648,0.17271146178245544,0.5334906578063965,0.2941151559352875,0.9414843916893005
623,155,3,0.21859195828437805,0.17721471190452576,0.5252830982208252,0.32963043451309204,0.9770313501358032
624,156,0,0.2096284180879593,0.16737183928489685,0.5220260620117188,0.24188095331192017,0.6483211517333984
625,156,1,0.24384932219982147,0.1996556669473648,0.5414751768112183,0.26400527358055115,0.774453341960907
626,156,2,0.21505208313465118,0.17249101400375366,0.5095096826553345,0.29423797130584717,0.9494531750679016
627,156,3,0.17994540929794312,0.14793939888477325,0.5045117735862732,0.24871405959129333,0.7267187833786011
628,157,0,0.21443042159080505,0.18355616927146912,0.4607950747013092,0.2308749407529831,0.7271876335144043
629,157,1,0.21639403700828552,0.18360882997512817,0.5253084301948547,0.3284033238887787,0.7805866003036499
630,157,2,0.19073320925235748,0.1558639407157898,0.4852026700973511,0.2608361840248108,0.8203125
631,157,3,0.19703246653079987,0.1637466847896576,0.431218683719635,0.2760835289955139,0.8130868673324585
632,158,0,0.2167714238166809,0.17537645995616913,0.49328339099884033,0.2428155541419983,0.848672091960907
633,158,1,0.21448230743408203,0.16993431746959686,0.5759754180908203,0.28788208961486816,0.7241019010543823
634,158,2,0.22076387703418732,0.18981117010116577,0.4846843481063843,0.28943562507629395,0.8440625667572021
635,158,3,0.2188003957271576,0.18390946090221405,0.4974888563156128,0.289061576128006,0.813320517539978
636,159,0,0.21104678511619568,0.17106875777244568,0.46560561656951904,0.3058885931968689,0.7632815837860107
637,159,1,0.20077458024024963,0.16905343532562256,0.44506338238716125,0.27253493666648865,0.8790234327316284
638,159,2,0.20185023546218872,0.16859716176986694,0.4126110076904297,0.30659425258636475,0.9610546827316284
639,159,3,0.19098713994026184,0.16115570068359375,0.45867717266082764,0.31003159284591675,0.8990626335144043
640,160,0,0.23072020709514618,0.1933489441871643,0.6336290836334229,0.25711119174957275,0.8360546827316284
641,160,1,0.24753205478191376,0.20792676508426666,0.5529637932777405,0.27108216285705566,0.8908984661102295
642,160,2,0.2575923800468445,0.21582496166229248,0.5610405206680298,0.3055011034011841,0.9430862665176392
643,160,3,0.23521649837493896,0.19450561702251434,0.6146647334098816,0.3600299060344696,1.2975783348083496
644,161,0,0.2123344987630844,0.1739860475063324,0.4700546860694885,0.2542935311794281,1.227109432220459
645,161,1,0.2060704380273819,0.16182217001914978,0.5103023648262024,0.2682659924030304,0.774258017539978
646,161,2,0.186381995677948,0.1542678326368332,0.39767590165138245,0.2828753590583801,0.8245313167572021
647,161,3,0.2203681766986847,0.18379154801368713,0.5084502696990967,0.31723687052726746,0.9579298496246338
648,162,0,0.19177564978599548,0.15071699023246765,0.49656039476394653,0.3303982615470886,0.9617970585823059
649,162,1,0.19605688750743866,0.16084203124046326,0.4364857077598572,0.28058674931526184,0.774101734161377
650,162,2,0.19160081446170807,0.1606743186712265,0.4788737893104553,0.29003316164016724,0.9007036089897156
651,162,3,0.23331302404403687,0.2002360224723816,0.591841459274292,0.2550361752510071,0.8008984327316284
652,163,0,0.1958177089691162,0.16277334094047546,0.43680858612060547,0.23152710497379303,0.626367449760437
