tile_size_v,trial,mean_share,mean_share_percent,median_share,median_share_percent
4,49,0.0012099257437512279,0.12099257437512279,0.0008685077773407102,0.08685077773407102
4,50,0.0011985423043370247,0.11985423043370247,0.000885952147655189,0.0885952147655189
4,51,0.0011670527746900916,0.11670527746900916,0.0008562507573515177,0.08562507573515177
4,52,0.0011549120536074042,0.11549120536074042,0.0008612037636339664,0.08612037636339664
4,53,0.0011548805050551891,0.11548805050551891,0.0008729554247111082,0.08729554247111082
4,54,0.0011383185628801584,0.11383185628801584,0.0008235301356762648,0.08235301356762648
4,55,0.0011999895796179771,0.11999895796179771,0.000899909995496273,0.0899909995496273
4,56,0.0011623501777648926,0.11623501777648926,0.0008328009280376136,0.08328009280376136
4,57,0.0011415118351578712,0.11415118351578712,0.000834247563034296,0.0834247563034296
4,58,0.001209996989928186,0.1209996989928186,0.0008923097047954798,0.08923097047954798
4,59,0.0012169283581897616,0.12169283581897616,0.0009063531761057675,0.09063531761057675
4,60,0.001187397981993854,0.1187397981993854,0.0008788201957941055,0.08788201957941055
4,61,0.0011790439020842314,0.11790439020842314,0.0008775739697739482,0.08775739697739482
4,62,0.0011571390787139535,0.11571390787139535,0.0008341037901118398,0.08341037901118398
4,63,0.0011899115052074194,0.11899115052074194,0.000883227854501456,0.0883227854501456
4,64,0.0011223326437175274,0.11223326437175274,0.0008251826511695981,0.08251826511695981
4,65,0.0011160476133227348,0.11160476133227348,0.0008218935690820217,0.08218935690820217
4,66,0.0011739494511857629,0.11739494511857629,0.0008831621962599456,0.08831621962599456
4,67,0.0011757814791053534,0.11757814791053534,0.000899645674508065,0.0899645674508065
4,68,0.0011756004532799125,0.11756004532799125,0.0008563438896089792,0.08563438896089792
4,69,0.001166352885775268,0.11663528857752681,0.0008516802918165922,0.08516802918165922
4,70,0.001180892577394843,0.11808925773948431,0.0008617010898888111,0.08617010898888111
4,71,0.0011889513116329908,0.11889513116329908,0.0008429617155343294,0.08429617155343294
4,72,0.0011960468254983425,0.11960468254983425,0.0009011091315187514,0.09011091315187514
4,73,0.0012063831090927124,0.12063831090927124,0.0008994450327008963,0.08994450327008963
4,74,0.0012447710614651442,0.12447710614651442,0.0009150906698778272,0.09150906698778272
4,75,0.0011944511206820607,0.11944511206820607,0.0008833900210447609,0.0883390021044761
4,76,0.0011568744666874409,0.11568744666874409,0.0008500978583469987,0.08500978583469987
4,77,0.001200628699734807,0.1200628699734807,0.0008963415748439729,0.08963415748439729
4,78,0.0011274602729827166,0.11274602729827166,0.0008511408814229071,0.08511408814229071
4,79,0.0011843814281746745,0.11843814281746745,0.0008806742844171822,0.08806742844171822
4,80,0.0011316208401694894,0.11316208401694894,0.0008443504339084029,0.08443504339084029
4,81,0.0012136232107877731,0.12136232107877731,0.0009169423719868064,0.09169423719868064
4,82,0.001187525107525289,0.1187525107525289,0.0008688290254212916,0.08688290254212916
4,83,0.0011644738260656595,0.11644738260656595,0.0008874388877302408,0.08874388877302408
4,84,0.001226927270181477,0.12269272701814771,0.0008985048625618219,0.0898504862561822
4,85,0.0011819035280495882,0.11819035280495882,0.0008688108064234257,0.08688108064234257
4,86,0.001135599217377603,0.1135599217377603,0.0008418541983701289,0.08418541983701289
4,87,0.0011465558782219887,0.11465558782219887,0.0008468785672448575,0.08468785672448575
4,88,0.0011753967264667153,0.11753967264667153,0.0008715379517525434,0.08715379517525434
4,89,0.0012054967228323221,0.12054967228323221,0.0008871469181030989,0.08871469181030989
4,90,0.001239178003743291,0.12391780037432909,0.0009391634957864881,0.0939163495786488
4,91,0.0011965709272772074,0.11965709272772074,0.0008977612596936524,0.08977612596936524
4,92,0.001207685680128634,0.1207685680128634,0.0008558078552596271,0.08558078552596271
4,93,0.0011444836854934692,0.11444836854934692,0.0008436755742877722,0.08436755742877722
4,94,0.0011335156159475446,0.11335156159475446,0.0008398739155381918,0.08398739155381918
4,95,0.0011485024588182569,0.11485024588182569,0.0008475997019559145,0.08475997019559145
4,96,0.00114352791570127,0.11435279157012701,0.0008665535133332014,0.08665535133332014
4,97,0.0012284887488931417,0.12284887488931417,0.0009095694404095411,0.09095694404095411
4,98,0.001194152282550931,0.1194152282550931,0.0008997399709187448,0.08997399709187448
4,99,0.001165037858299911,0.1165037858299911,0.0008631772361695766,0.08631772361695766
8,0,0.0027228372637182474,0.27228372637182474,0.002343837171792984,0.2343837171792984
8,1,0.002714575966820121,0.2714575966820121,0.0023690485395491123,0.23690485395491123
8,2,0.002739477436989546,0.2739477436989546,0.0024119901936501265,0.24119901936501265
8,3,0.0027482546865940094,0.27482546865940094,0.002366054803133011,0.2366054803133011
8,4,0.002654222771525383,0.2654222771525383,0.0023170302156358957,0.23170302156358957
8,5,0.0027313821483403444,0.27313821483403444,0.0024085952900350094,0.24085952900350094
8,6,0.0026338710449635983,0.2633871044963598,0.0022831459064036608,0.22831459064036608
8,7,0.0026633148081600666,0.26633148081600666,0.002353436080738902,0.2353436080738902
8,8,0.0027366275899112225,0.27366275899112225,0.0023522931151092052,0.23522931151092052
8,9,0.002735893242061138,0.2735893242061138,0.002368801273405552,0.2368801273405552
8,10,0.002726299688220024,0.2726299688220024,0.002364993328228593,0.2364993328228593
8,11,0.0027352129109203815,0.27352129109203815,0.002332447562366724,0.2332447562366724
8,12,0.002746725920587778,0.2746725920587778,0.00243567256256938,0.24356725625693798
8,13,0.0027030862402170897,0.27030862402170897,0.002362041035667062,0.23620410356670618
8,14,0.002772563835605979,0.2772563835605979,0.0023953940253704786,0.23953940253704786
8,15,0.0026904132682830095,0.26904132682830095,0.002317627891898155,0.23176278918981552
8,16,0.002821756526827812,0.2821756526827812,0.0024435103405267,0.24435103405267
8,17,0.002811739221215248,0.2811739221215248,0.0024316697381436825,0.24316697381436825
8,18,0.002750244690105319,0.2750244690105319,0.002374124014750123,0.2374124014750123
8,19,0.002814624924212694,0.2814624924212694,0.002448245184496045,0.2448245184496045
8,20,0.002733597531914711,0.2733597531914711,0.0024181585758924484,0.24181585758924484
8,21,0.0027282678056508303,0.272826780565083,0.002393637550994754,0.23936375509947538
8,22,0.0027962648309767246,0.27962648309767246,0.0024166996590793133,0.24166996590793133
8,23,0.0028031461406499147,0.2803146140649915,0.002454676665365696,0.2454676665365696
8,24,0.002757500158622861,0.2757500158622861,0.0023989672772586346,0.23989672772586346
8,25,0.0026548579335212708,0.2654857933521271,0.0022871438413858414,0.22871438413858414
8,26,0.0028301808051764965,0.28301808051764965,0.002453095745295286,0.24530957452952862
8,27,0.0026619057171046734,0.26619057171046734,0.0023314235731959343,0.23314235731959343
8,28,0.002739398507401347,0.2739398507401347,0.0024003214202821255,0.24003214202821255
8,29,0.0027596834115684032,0.2759683411568403,0.002419227035716176,0.2419227035716176
8,30,0.002681625308468938,0.2681625308468938,0.0023682215251028538,0.23682215251028538
8,31,0.0027276650071144104,0.27276650071144104,0.0023626855108886957,0.23626855108886957
8,32,0.002711594570428133,0.2711594570428133,0.002324675675481558,0.23246756754815578
8,33,0.0027381691616028547,0.2738169161602855,0.00237336871214211,0.237336871214211
8,34,0.002696665469557047,0.2696665469557047,0.0023041213862597942,0.23041213862597942
8,35,0.002734166570007801,0.2734166570007801,0.0024004848673939705,0.24004848673939705
8,36,0.0027499496936798096,0.27499496936798096,0.0023928312584757805,0.23928312584757805
8,37,0.002763745142146945,0.2763745142146945,0.002408942673355341,0.2408942673355341
8,38,0.0027590710669755936,0.27590710669755936,0.0024150502867996693,0.24150502867996693
8,39,0.002699201926589012,0.2699201926589012,0.0023158155381679535,0.23158155381679535
8,40,0.002774348948150873,0.2774348948150873,0.002368672750890255,0.2368672750890255
8,41,0.0028076735325157642,0.2807673532515764,0.0024289998691529036,0.24289998691529036
8,42,0.0027961034793406725,0.27961034793406725,0.0024781147949397564,0.24781147949397564
8,43,0.0027811795007437468,0.2781179500743747,0.002399276942014694,0.23992769420146942
8,44,0.0027511666994541883,0.27511666994541883,0.0023803755175322294,0.23803755175322294
8,45,0.002764218021184206,0.2764218021184206,0.0023994380608201027,0.23994380608201027
