tile_size_v,slice_start,slice_width,abs_corr_threshold,is_valid_even_tiling,num_tiles,mean_tile_internal_cooccurrence_count_share,weighted_tile_internal_cooccurrence_count_share,mean_tile_internal_cooccurrence_energy_share,weighted_tile_internal_cooccurrence_energy_share,mean_tile_internal_cooccurrence_count_share_percent,weighted_tile_internal_cooccurrence_count_share_percent,mean_tile_internal_cooccurrence_energy_share_percent,weighted_tile_internal_cooccurrence_energy_share_percent,mean_internal_cooccurrence_count,mean_cross_cooccurrence_count_touching_tile,mean_total_cooccurrence_count_touching_tile,total_internal_cooccurrence_count,total_cross_cooccurrence_count_touching_tiles,total_cooccurrence_count_touching_tiles,total_internal_cooccurrence_energy,total_cross_cooccurrence_energy_touching_tiles,total_cooccurrence_energy_touching_tiles
32,0,2048,0.0,True,64,0.007629830174747722,0.007629830174747723,0.009353268052635779,0.012539988863579411,0.7629830174747723,0.7629830174747723,0.9353268052635779,1.2539988863579412,496.0,64512.0,65008.0,31744,4128768,4160512,43.72702220216554,3443.279439913951,3487.0064621161164
32,0,2048,0.01,True,64,0.007762071155630847,0.007776959754276295,0.00935663074554699,0.012602236654121825,0.7762071155630847,0.7776959754276295,0.935663074554699,1.2602236654121826,353.046875,45043.46875,45396.515625,22595,2882782,2905377,43.42931117031172,3402.729681258009,3446.1589924283207
32,0,2048,0.02,True,64,0.007972160805520906,0.008068650323006677,0.009378373591521962,0.013001410646375342,0.7972160805520906,0.8068650323006678,0.9378373591521962,1.3001410646375342,232.15625,28540.46875,28772.625,14858,1826590,1841448,41.6649679595107,3162.9848268015267,3204.649794761037
32,0,2048,0.05,True,64,0.008459520503909471,0.010605199103030148,0.0093068492351156,0.01841706740430961,0.8459520503909471,1.0605199103030147,0.93068492351156,1.8417067404309608,51.875,4839.59375,4891.46875,3320,309734,313054,29.48990683507957,1571.737160845571,1601.2270676806506
32,0,2048,0.1,True,64,0.006558094016691998,0.028215254317933102,0.007282722955368543,0.04585298873822849,0.6558094016691998,2.8215254317933103,0.7282722955368544,4.585298873822849,9.265625,319.125,328.390625,593,20424,21017,17.574792760768265,365.71086089861546,383.2856536593837
64,0,2048,0.0,True,32,0.015628876209377324,0.015628876209377324,0.019129691285904606,0.025050911069502503,1.5628876209377325,1.5628876209377325,1.9129691285904606,2.50509110695025,2016.0,126976.0,128992.0,64512,4063232,4127744,86.28653423027383,3358.1604158577347,3444.4469500880086
64,0,2048,0.01,True,32,0.015853759311540743,0.015881981696601585,0.019135062651912352,0.025169341368948123,1.5853759311540743,1.5881981696601586,1.9135062651912351,2.5169341368948124,1430.46875,88638.1875,90068.65625,45775,2836422,2882197,85.67427419657217,3318.239755205488,3403.9140294020604
64,0,2048,0.02,True,32,0.016291805575917525,0.01648170223857427,0.019183575382544938,0.025943517127521146,1.6291805575917524,1.648170223857427,1.9183575382544937,2.5943517127521147,940.59375,56128.375,57068.96875,30099,1796108,1826207,82.09109102201863,3082.1325806765108,3164.223671698529
64,0,2048,0.05,True,32,0.01721771627752423,0.021556484058663603,0.019006823665571874,0.03639292654272884,1.721771627752423,2.1556484058663603,1.9006823665571875,3.639292654272884,208.625,9469.4375,9678.0625,6676,303022,309698,57.262609137544345,1516.1917562406416,1573.454365378186
64,0,2048,0.1,True,32,0.013896090702262253,0.057447641417107065,0.015646309372366853,0.09008122391093698,1.3896090702262254,5.744764141710706,1.5646309372366853,9.008122391093698,36.6875,601.9375,638.625,1174,19262,20436,33.12597156885088,334.6085032824503,367.7344748513011
128,0,2048,0.0,True,16,0.032014116460801614,0.032014116460801614,0.03972701623755338,0.04997682210135167,3.2014116460801616,3.2014116460801616,3.972701623755338,4.997682210135166,8128.0,245760.0,253888.0,130048,3932160,4062208,168.05593753956938,3194.6216092391437,3362.677546778713
128,0,2048,0.01,True,16,0.03258631480736403,0.032638094623423826,0.03975283080133261,0.050210018830632114,3.258631480736403,3.263809462342383,3.9752830801332606,5.021001883063211,5783.9375,171430.375,177214.3125,92543,2742886,2835429,166.83548175433802,3155.9173400899563,3322.7528218442944
128,0,2048,0.02,True,16,0.03334611134448162,0.03371148166132819,0.03987965609410617,0.05168325505247769,3.334611134448162,3.371148166132819,3.9879656094106166,5.168325505247769,3783.625,108451.875,112235.5,60538,1735230,1795768,159.53483432988352,2927.2450940607805,3086.7799283906643
128,0,2048,0.05,True,16,0.03532134276438008,0.04390433830031544,0.040028090097252424,0.07183476979528276,3.5321342764380077,4.390433830031544,4.002809009725242,7.183476979528276,831.625,18110.125,18941.75,13306,289762,303068,109.29126556322788,1412.1344433892746,1521.4257089525024
128,0,2048,0.1,True,16,0.03261754204878214,0.1183563628836102,0.03728031497713269,0.17787100561129868,3.2617542048782138,11.835636288361021,3.728031497713269,17.78710056112987,142.9375,1064.75,1207.6875,2287,17036,19323,60.53417596228381,279.79209449558437,340.32627045786813
256,0,2048,0.0,True,8,0.06642354779890597,0.06642354779890597,0.08119507537868634,0.09601445178094949,6.642354779890597,6.642354779890597,8.119507537868634,9.601445178094949,32640.0,458752.0,491392.0,261120,3670016,3931136,309.30380464473535,2912.1258750288116,3221.429679673547
256,0,2048,0.01,True,8,0.06753103763112953,0.06763737029066413,0.08124844698588549,0.09640522269506045,6.753103763112953,6.763737029066413,8.124844698588548,9.640522269506045,23186.75,319623.0,342809.75,185494,2556984,2742478,306.8341253387756,2875.920052921081,3182.7541782598564
256,0,2048,0.02,True,8,0.06910367001613922,0.06985164018797699,0.08155920210859084,0.09891121281182791,6.910367001613922,6.985164018797699,8.155920210859085,9.89112128118279,15150.0,201738.25,216888.25,121200,1613906,1735106,292.1955173503301,2661.9237280198877,2954.119245370218
256,0,2048,0.05,True,8,0.0721782395582738,0.08913086135849602,0.08211063685271747,0.13266180666490052,7.217823955827379,8.913086135849602,8.211063685271746,13.266180666490051,3236.375,33074.0,36310.375,25891,264592,290483,190.99598726240086,1248.7249999909286,1439.7209872533292
256,0,2048,0.1,True,8,0.0705060059358946,0.2261688606445756,0.08141688361889211,0.30670582855342926,7.05060059358946,22.61688606445756,8.141688361889212,30.670582855342925,498.25,1704.75,2203.0,3986,13638,17624,94.08868673196032,212.68307295623137,306.7717596881917
