tile_size_v,slice_start,slice_width,abs_corr_threshold,is_valid_even_tiling,num_tiles,mean_tile_internal_cooccurrence_count_share,weighted_tile_internal_cooccurrence_count_share,mean_tile_internal_cooccurrence_energy_share,weighted_tile_internal_cooccurrence_energy_share,mean_tile_internal_cooccurrence_count_share_percent,weighted_tile_internal_cooccurrence_count_share_percent,mean_tile_internal_cooccurrence_energy_share_percent,weighted_tile_internal_cooccurrence_energy_share_percent,mean_internal_cooccurrence_count,mean_cross_cooccurrence_count_touching_tile,mean_total_cooccurrence_count_touching_tile,total_internal_cooccurrence_count,total_cross_cooccurrence_count_touching_tiles,total_cooccurrence_count_touching_tiles,total_internal_cooccurrence_energy,total_cross_cooccurrence_energy_touching_tiles,total_cooccurrence_energy_touching_tiles
16,0,2560,0.02,True,160,0.003063853245557971,0.003101168470194565,0.00358941937307172,0.004941638942187531,0.3063853245557971,0.3101168470194565,0.358941937307172,0.4941638942187531,53.86875,17316.6,17370.46875,8619,2770656,2779275,22.014626613490922,4432.909513138741,4454.924139752233
16,0,2560,0.05,True,160,0.003220509729124425,0.004133531458884915,0.003572676720013106,0.007372629115814691,0.3220509729124425,0.4133531458884915,0.3572676720013106,0.7372629115814691,10.675,2571.8625,2582.5375,1708,411498,413206,14.806452546985827,1993.4937500530857,2008.3002026000713
16,0,2560,0.1,True,160,0.0027232421384637507,0.012671321437807085,0.002929009828156578,0.020726649913274494,0.27232421384637506,1.2671321437807086,0.2929009828156578,2.0726649913274495,1.8375,143.175,145.0125,294,22908,23202,8.652691981252831,408.81428977691195,417.46698175816476
32,0,2560,0.0,True,80,0.006093965008846077,0.006093965008846078,0.007386860421966089,0.009762979769811053,0.6093965008846077,0.6093965008846078,0.7386860421966089,0.9762979769811053,496.0,80896.0,81392.0,39680,6471680,6511360,47.69115353710919,4837.206148470941,4884.89730200805
32,0,2560,0.01,True,80,0.006166956697536058,0.006178794683931918,0.0073896450803640264,0.009816047462660325,0.6166956697536058,0.6178794683931917,0.7389645080364027,0.9816047462660324,345.85,55627.85,55973.7,27668,4450228,4477896,47.30200213505795,4771.542070796742,4818.844072931801
32,0,2560,0.02,True,80,0.006332850393662234,0.00640833574596537,0.0074147719782595035,0.010163618481845604,0.6332850393662234,0.640833574596537,0.7414771978259503,1.0163618481845604,221.9,34404.875,34626.775,17752,2752390,2770142,45.04408667608679,4386.85059301355,4431.894679689636
32,0,2560,0.05,True,80,0.006740311573727076,0.008593049231973435,0.007417084014031528,0.015181213769201205,0.6740311573727076,0.8593049231973435,0.7417084014031528,1.5181213769201205,44.1875,5098.05,5142.2375,3535,407844,411379,30.25392333221768,1962.5988084826217,1992.8527318148397
32,0,2560,0.1,True,80,0.005033946262590358,0.02589180456708728,0.005634074335577927,0.04301802220277172,0.5033946262590359,2.589180456708728,0.5634074335577927,4.301802220277172,7.4125,278.875,286.2875,593,22310,22903,17.574792760768265,390.9700882178811,408.5448809786493
64,0,2560,0.0,True,40,0.012462908011869436,0.012462908011869436,0.015097574740274983,0.01951362236497081,1.2462908011869436,1.2462908011869436,1.5097574740274982,1.9513622364970808,2016.0,159744.0,161760.0,80640,6389760,6470400,94.41037990257064,4743.767695740018,4838.178075642589
64,0,2560,0.01,True,40,0.012616822893807708,0.012638074066382534,0.015104128463628842,0.01961592806827115,1.2616822893807709,1.2638074066382534,1.510412846362884,1.9615928068271151,1405.775,109827.55,111233.325,56231,4393102,4449333,93.61757574644332,4678.910923573972,4772.528499320415
